Qnum;Item;Sentence;Picture;ListNum;Answer;ID;NativeLg;Age;Gender;Date;Year;Hour
1; Q3;f;f;2;0; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:36:46
2; Q23;c;c;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:36:54
3; Q24;c;c;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:37:02
4; Q4;d;d;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:37:08
5; Q14;e;e;2;0; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:37:14
6; Q14;b;b;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:37:19
7; Q12;e;e;2;0; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:37:25
8; Q20;c;c;2;0; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:37:32
9; Q16;b;b;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:37:36
10; Q18;e;e;2;0; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:37:40
11; Q9;a;a;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:37:44
12; Q1;f;f;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:37:48
13; Q5;e;e;2;0; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:37:56
14; Q6;d;d;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:38:03
15; Q8;e;e;2;0; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:38:08
16; Q2;e;e;2;0; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:38:30
17; Q7;e;e;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:38:35
18; Q15;b;b;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:38:40
19; Q19;c;c;2;0; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:38:53
20; Q13;e;e;2;0; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:38:58
21; Q15;e;e;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:39:05
22; Q17;e;e;2;0; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:39:09
23; Q22;c;c;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:39:13
24; Q6;f;f;2;0; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:39:18
25; Q6;e;e;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:39:22
26; Q2;f;f;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:39:26
27; Q10;e;e;2;0; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:39:30
28; Q5;d;d;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:39:37
29; Q3;e;e;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:39:42
30; Q3;d;d;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:39:46
31; Q7;a;a;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:39:52
32; Q4;f;f;2;0; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:39:56
33; Q1;d;d;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:40:04
34; Q13;b;b;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:40:13
35; Q2;d;d;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:40:23
36; Q21;c;c;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:40:28
37; Q16;e;e;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:40:32
38; Q4;e;e;2;0; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:40:35
39; Q11;e;e;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:40:39
40; Q1;e;e;2;0; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:40:42
41; Q10;a;a;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:40:46
42; Q5;f;f;2;0; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:40:50
43; Q18;b;b;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:40:54
44; Q9;e;e;2;0; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:40:59
45; Q11;a;a;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:41:02
46; Q17;b;b;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:41:07
47; Q12;a;a;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:41:12
48; Q8;a;a;2;1; s000000b09052016-183605.1;2;22; f;  September 5;2016; 18:41:17
1; Q2;e;e;3;0; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:19:56
2; Q3;e;e;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:20:02
3; Q4;f;f;3;0; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:20:11
4; Q5;e;e;3;0; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:20:23
5; Q24;b;b;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:20:27
6; Q1;e;e;3;0; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:20:48
7; Q13;a;a;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:21:10
8; Q16;a;a;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:21:12
9; Q13;e;e;3;0; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:21:24
10; Q6;c;c;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:21:30
11; Q15;a;a;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:21:34
12; Q18;e;e;3;0; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:21:40
13; Q5;f;f;3;0; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:21:43
14; Q11;e;e;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:21:48
15; Q12;d;d;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:22:05
16; Q16;e;e;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:22:12
17; Q19;b;b;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:22:16
18; Q23;b;b;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:22:19
19; Q10;e;e;3;0; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:22:23
20; Q21;b;b;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:22:27
21; Q4;e;e;3;0; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:22:37
22; Q3;c;c;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:23:11
23; Q11;d;d;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:23:16
24; Q17;a;a;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:23:32
25; Q1;f;f;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:23:35
26; Q4;c;c;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:23:38
27; Q15;e;e;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:23:40
28; Q6;e;e;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:23:46
29; Q14;a;a;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:23:54
30; Q17;e;e;3;0; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:23:58
31; Q7;d;d;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:24:09
32; Q1;c;c;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:24:15
33; Q3;f;f;3;0; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:24:20
34; Q7;e;e;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:24:24
35; Q22;b;b;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:24:28
36; Q18;a;a;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:24:31
37; Q8;e;e;3;0; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:24:36
38; Q9;e;e;3;0; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:24:43
39; Q20;b;b;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:24:48
40; Q10;d;d;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:24:50
41; Q8;d;d;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:24:58
42; Q9;d;d;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:25:01
43; Q5;c;c;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:25:04
44; Q14;e;e;3;0; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:25:08
45; Q2;c;c;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:25:25
46; Q12;e;e;3;0; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:25:29
47; Q2;f;f;3;1; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:25:31
48; Q6;f;f;3;0; s000000b09062016-101845.0;2;21; m;  September 6;2016; 10:25:36
1; Q5;e;e;4;0; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:39:46
2; Q1;e;e;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:39:52
3; Q4;b;b;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:39:56
4; Q6;e;e;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:40:02
5; Q3;f;f;4;0; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:40:12
6; Q8;c;c;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:40:23
7; Q14;d;d;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:40:28
8; Q12;c;c;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:40:36
9; Q4;e;e;4;0; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:40:43
10; Q15;d;d;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:40:48
11; Q15;e;e;4;0; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:40:58
12; Q23;a;a;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:41:03
13; Q9;c;c;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:41:07
14; Q1;b;b;4;0; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:41:12
15; Q17;e;e;4;0; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:41:18
16; Q11;c;c;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:41:23
17; Q18;e;e;4;0; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:41:42
18; Q7;e;e;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:41:56
19; Q2;f;f;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:42:00
20; Q12;e;e;4;0; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:42:06
21; Q9;e;e;4;0; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:42:14
22; Q5;b;b;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:42:19
23; Q4;f;f;4;0; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:42:25
24; Q13;d;d;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:42:37
25; Q2;b;b;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:42:46
26; Q20;a;a;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:42:50
27; Q11;e;e;4;0; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:42:58
28; Q18;d;d;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:43:02
29; Q8;e;e;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:43:07
30; Q22;a;a;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:43:14
31; Q5;f;f;4;0; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:43:18
32; Q6;f;f;4;0; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:43:21
33; Q16;e;e;4;0; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:43:29
34; Q2;e;e;4;0; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:43:38
35; Q13;e;e;4;0; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:43:53
36; Q10;c;c;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:43:57
37; Q3;e;e;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:44:01
38; Q3;b;b;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:44:11
39; Q24;a;a;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:44:17
40; Q14;e;e;4;0; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:44:28
41; Q10;e;e;4;0; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:44:40
42; Q19;a;a;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:44:52
43; Q6;b;b;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:44:57
44; Q21;a;a;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:45:00
45; Q16;d;d;4;0; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:45:07
46; Q17;d;d;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:45:12
47; Q1;f;f;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:45:15
48; Q7;c;c;4;1; s000000b09062016-133859.42;2;22; m;  September 6;2016; 13:45:21
1; Q6;a;a;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 13:58:39
2; Q17;e;e;1;0; s000000b09062016-135234.0;2;23; f;  September 6;2016; 13:58:45
3; Q19;d;d;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 13:58:56
4; Q17;c;c;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 13:59:02
5; Q22;d;d;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 13:59:07
6; Q6;f;f;1;0; s000000b09062016-135234.0;2;23; f;  September 6;2016; 13:59:10
7; Q1;e;e;1;0; s000000b09062016-135234.0;2;23; f;  September 6;2016; 13:59:15
8; Q10;e;e;1;0; s000000b09062016-135234.0;2;23; f;  September 6;2016; 13:59:20
9; Q11;e;e;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 13:59:25
10; Q2;a;a;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 13:59:31
11; Q9;b;b;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 13:59:35
12; Q7;b;b;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 13:59:39
13; Q18;e;e;1;0; s000000b09062016-135234.0;2;23; f;  September 6;2016; 13:59:44
14; Q10;b;b;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 13:59:50
15; Q2;f;f;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:00:04
16; Q1;a;a;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:00:08
17; Q3;a;a;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:00:14
18; Q15;e;e;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:00:19
19; Q16;c;c;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:00:23
20; Q18;c;c;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:00:27
21; Q1;f;f;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:00:31
22; Q14;c;c;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:00:37
23; Q4;f;f;1;0; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:00:42
24; Q3;e;e;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:00:58
25; Q5;f;f;1;0; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:01:02
26; Q21;d;d;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:01:07
27; Q6;e;e;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:01:11
28; Q3;f;f;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:01:19
29; Q9;e;e;1;0; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:01:28
30; Q8;e;e;1;0; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:01:33
31; Q4;e;e;1;0; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:01:38
32; Q8;b;b;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:01:42
33; Q20;d;d;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:01:48
34; Q12;e;e;1;0; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:01:55
35; Q24;d;d;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:02:01
36; Q16;e;e;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:02:05
37; Q14;e;e;1;0; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:02:13
38; Q5;e;e;1;0; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:02:18
39; Q5;a;a;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:02:25
40; Q15;c;c;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:02:31
41; Q13;e;e;1;0; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:02:39
42; Q4;a;a;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:02:50
43; Q7;e;e;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:02:56
44; Q12;b;b;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:03:01
45; Q23;d;d;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:03:05
46; Q2;e;e;1;0; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:03:10
47; Q11;b;b;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:03:14
48; Q13;c;c;1;1; s000000b09062016-135234.0;2;23; f;  September 6;2016; 14:03:26
1; Q11;e;e;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:17:19
2; Q4;e;e;2;0; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:17:29
3; Q5;d;d;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:17:35
4; Q21;c;c;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:17:41
5; Q10;a;a;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:17:47
6; Q4;d;d;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:17:52
7; Q3;d;d;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:17:56
8; Q6;e;e;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:18:03
9; Q24;c;c;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:18:09
10; Q16;e;e;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:18:14
11; Q18;e;e;2;0; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:18:21
12; Q23;c;c;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:18:27
13; Q6;d;d;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:18:31
14; Q9;e;e;2;0; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:18:38
15; Q11;a;a;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:18:42
16; Q13;b;b;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:18:47
17; Q3;e;e;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:18:52
18; Q13;e;e;2;0; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:19:02
19; Q1;e;e;2;0; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:19:05
20; Q1;d;d;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:19:10
21; Q17;e;e;2;0; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:19:16
22; Q18;b;b;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:19:20
23; Q14;e;e;2;0; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:19:24
24; Q15;e;e;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:19:29
25; Q4;f;f;2;0; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:19:38
26; Q7;a;a;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:19:43
27; Q2;d;d;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:19:48
28; Q8;e;e;2;0; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:19:51
29; Q15;b;b;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:19:56
30; Q12;e;e;2;0; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:20:00
31; Q7;e;e;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:20:07
32; Q17;b;b;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:20:15
33; Q22;c;c;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:20:18
34; Q1;f;f;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:20:22
35; Q3;f;f;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:20:27
36; Q19;c;c;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:20:32
37; Q9;a;a;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:20:35
38; Q10;e;e;2;0; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:20:42
39; Q16;b;b;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:20:45
40; Q5;e;e;2;0; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:20:48
41; Q12;a;a;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:20:55
42; Q6;f;f;2;0; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:21:04
43; Q2;f;f;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:21:08
44; Q20;c;c;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:21:14
45; Q8;a;a;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:21:18
46; Q14;b;b;2;1; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:21:22
47; Q5;f;f;2;0; s000000b09062016-141608.2424800;2;23; m;  September 6;2016; 14:21:27
